accession,date,img_id,img_name,class,x1,y1,x2,y2
Ta00048,20170703,Ta00048_20170703,Ta00048_20170703.jpg,clover,1674,0,3819,2561
Ta00048,20170703,Ta00048_20170703,Ta00048_20170703.jpg,quadrat,760,0,4410,3456
Ta00048,20170703,Ta00048_20170703,Ta00048_20170703.jpg,quadrat_corner,926,0,1318,314
Ta00048,20170703,Ta00048_20170703,Ta00048_20170703.jpg,quadrat_corner,3949,23,4318,369
Ta00048,20170703,Ta00048_20170703,Ta00048_20170703.jpg,quadrat_corner,4018,3041,4428,3456
Ta00048,20170703,Ta00048_20170703,Ta00048_20170703.jpg,quadrat_corner,751,2999,1162,3424
Ta01349,20170703,Ta01349_20170703,Ta01349_20170703.jpg,clover,1378,831,3852,2621
Ta01349,20170703,Ta01349_20170703,Ta01349_20170703.jpg,quadrat,862,217,4290,3456
Ta01349,20170703,Ta01349_20170703,Ta01349_20170703.jpg,quadrat_corner,1083,212,1448,554
Ta01349,20170703,Ta01349_20170703,Ta01349_20170703.jpg,quadrat_corner,3907,258,4262,609
Ta01349,20170703,Ta01349_20170703,Ta01349_20170703.jpg,quadrat_corner,3898,3161,4285,3456
Ta01349,20170703,Ta01349_20170703,Ta01349_20170703.jpg,quadrat_corner,862,3045,1235,3451
Ta01881,20170703,Ta01881_20170703,Ta01881_20170703.jpg,clover,2426,1901,3244,2962
Ta01881,20170703,Ta01881_20170703,Ta01881_20170703.jpg,quadrat,915,0,4568,3456
Ta01881,20170703,Ta01881_20170703,Ta01881_20170703.jpg,quadrat_corner,942,163,1304,536
Ta01881,20170703,Ta01881_20170703,Ta01881_20170703.jpg,quadrat_corner,3982,0,4387,307
Ta01881,20170703,Ta01881_20170703,Ta01881_20170703.jpg,quadrat_corner,4184,2979,4579,3384
Ta01881,20170703,Ta01881_20170703,Ta01881_20170703.jpg,quadrat_corner,1160,3230,1550,3456
Ta00235,20170703,Ta00235_20170703,Ta00235_20170703.jpg,clover,1520,538,3144,1894
Ta00235,20170703,Ta00235_20170703,Ta00235_20170703.jpg,quadrat,310,59,3642,3280
Ta00235,20170703,Ta00235_20170703,Ta00235_20170703.jpg,quadrat_corner,514,62,849,362
Ta00235,20170703,Ta00235_20170703,Ta00235_20170703.jpg,quadrat_corner,3259,102,3630,418
Ta00235,20170703,Ta00235_20170703,Ta00235_20170703.jpg,quadrat_corner,3277,2905,3630,3258
Ta00235,20170703,Ta00235_20170703,Ta00235_20170703.jpg,quadrat_corner,304,2837,654,3208
Ta01982,20170703,Ta01982_20170703,Ta01982_20170703.jpg,clover,1251,43,2962,2958
Ta01982,20170703,Ta01982_20170703,Ta01982_20170703.jpg,quadrat,808,0,4252,3301
Ta01982,20170703,Ta01982_20170703,Ta01982_20170703.jpg,quadrat_corner,802,0,1189,260
Ta01982,20170703,Ta01982_20170703,Ta01982_20170703.jpg,quadrat_corner,3878,0,4243,220
Ta01982,20170703,Ta01982_20170703,Ta01982_20170703.jpg,quadrat_corner,3902,2881,4240,3230
Ta01982,20170703,Ta01982_20170703,Ta01982_20170703.jpg,quadrat_corner,895,2961,1260,3301
Ta00112,20170703,Ta00112_20170703,Ta00112_20170703.jpg,clover,1545,229,3466,2639
Ta00112,20170703,Ta00112_20170703,Ta00112_20170703.jpg,quadrat,638,0,4317,3394
Ta00112,20170703,Ta00112_20170703,Ta00112_20170703.jpg,quadrat_corner,802,22,1161,334
Ta00112,20170703,Ta00112_20170703,Ta00112_20170703.jpg,quadrat_corner,3788,0,4156,288
Ta00112,20170703,Ta00112_20170703,Ta00112_20170703.jpg,quadrat_corner,3930,2976,4320,3376
Ta00112,20170703,Ta00112_20170703,Ta00112_20170703.jpg,quadrat_corner,638,2995,1013,3400
Ta02081,20170608,Ta02081_20170608,Ta02081_20170608.jpg,clover,1508,969,2878,2229
Ta02081,20170608,Ta02081_20170608,Ta02081_20170608.jpg,quadrat,1205,361,4108,3268
Ta02081,20170608,Ta02081_20170608,Ta02081_20170608.jpg,quadrat_corner,1205,361,1519,668
Ta02081,20170608,Ta02081_20170608,Ta02081_20170608.jpg,quadrat_corner,3781,388,4105,675
Ta02081,20170608,Ta02081_20170608,Ta02081_20170608.jpg,quadrat_corner,3801,2947,4101,3257
Ta02081,20170608,Ta02081_20170608,Ta02081_20170608.jpg,quadrat_corner,1205,2957,1525,3275
Ta01097,20170703,Ta01097_20170703,Ta01097_20170703.jpg,clover,505,337,3485,2252
Ta01097,20170703,Ta01097_20170703,Ta01097_20170703.jpg,quadrat,406,0,4035,3406
Ta01097,20170703,Ta01097_20170703,Ta01097_20170703.jpg,quadrat_corner,530,19,876,343
Ta01097,20170703,Ta01097_20170703,Ta01097_20170703.jpg,quadrat_corner,3491,0,3850,294
Ta01097,20170703,Ta01097_20170703,Ta01097_20170703.jpg,quadrat_corner,3639,2955,4008,3348
Ta01097,20170703,Ta01097_20170703,Ta01097_20170703.jpg,quadrat_corner,412,3014,787,3425
Ta02271,20170608,Ta02271_20170608,Ta02271_20170608.jpg,clover,2547,1769,3053,2783
Ta02271,20170608,Ta02271_20170608,Ta02271_20170608.jpg,quadrat,1227,550,4231,3456
Ta02271,20170608,Ta02271_20170608,Ta02271_20170608.jpg,quadrat_corner,1221,589,1540,911
Ta02271,20170608,Ta02271_20170608,Ta02271_20170608.jpg,quadrat_corner,3879,553,4203,865
Ta02271,20170608,Ta02271_20170608,Ta02271_20170608.jpg,quadrat_corner,3903,3162,4212,3456
Ta02271,20170608,Ta02271_20170608,Ta02271_20170608.jpg,quadrat_corner,1312,3220,1646,3456
Ta01915,20170703,Ta01915_20170703,Ta01915_20170703.jpg,clover,1725,1089,3270,2136
Ta01915,20170703,Ta01915_20170703,Ta01915_20170703.jpg,quadrat,446,97,4078,3456
Ta01915,20170703,Ta01915_20170703,Ta01915_20170703.jpg,quadrat_corner,696,111,1069,466
Ta01915,20170703,Ta01915_20170703,Ta01915_20170703.jpg,quadrat_corner,3584,194,3976,517
Ta01915,20170703,Ta01915_20170703,Ta01915_20170703.jpg,quadrat_corner,3672,3027,4092,3456
Ta01915,20170703,Ta01915_20170703,Ta01915_20170703.jpg,quadrat_corner,446,2981,825,3387
Ta02282,20170703,Ta02282_20170703,Ta02282_20170703.jpg,clover,1318,595,3506,2962
Ta02282,20170703,Ta02282_20170703,Ta02282_20170703.jpg,quadrat,714,18,4110,3433
Ta02282,20170703,Ta02282_20170703,Ta02282_20170703.jpg,quadrat_corner,737,28,1111,388
Ta02282,20170703,Ta02282_20170703,Ta02282_20170703.jpg,quadrat_corner,3699,32,4105,411
Ta02282,20170703,Ta02282_20170703,Ta02282_20170703.jpg,quadrat_corner,3741,2990,4101,3359
Ta02282,20170703,Ta02282_20170703,Ta02282_20170703.jpg,quadrat_corner,732,3055,1148,3433
Ta00148,20170703,Ta00148_20170703,Ta00148_20170703.jpg,clover,866,328,3639,2935
Ta00148,20170703,Ta00148_20170703,Ta00148_20170703.jpg,quadrat,649,134,3875,3308
Ta00148,20170703,Ta00148_20170703,Ta00148_20170703.jpg,quadrat_corner,700,175,1037,498
Ta00148,20170703,Ta00148_20170703,Ta00148_20170703.jpg,quadrat_corner,3418,129,3764,448
Ta00148,20170703,Ta00148_20170703,Ta00148_20170703.jpg,quadrat_corner,3529,2893,3866,3253
Ta00148,20170703,Ta00148_20170703,Ta00148_20170703.jpg,quadrat_corner,636,2948,1000,3313
Ta02238,20170608,Ta02238_20170608,Ta02238_20170608.jpg,clover,2207,1584,2715,2038
Ta02238,20170608,Ta02238_20170608,Ta02238_20170608.jpg,quadrat,1118,391,4238,3456
Ta02238,20170608,Ta02238_20170608,Ta02238_20170608.jpg,quadrat_corner,1110,571,1442,903
Ta02238,20170608,Ta02238_20170608,Ta02238_20170608.jpg,quadrat_corner,3754,391,4118,719
Ta02238,20170608,Ta02238_20170608,Ta02238_20170608.jpg,quadrat_corner,3906,3015,4242,3363
Ta02238,20170608,Ta02238_20170608,Ta02238_20170608.jpg,quadrat_corner,1310,3183,1662,3456
Ta00448,20170703,Ta00448_20170703,Ta00448_20170703.jpg,quadrat,637,0,4178,3254
Ta00448,20170703,Ta00448_20170703,Ta00448_20170703.jpg,quadrat_corner,749,0,1133,240
Ta00448,20170703,Ta00448_20170703,Ta00448_20170703.jpg,quadrat_corner,3672,0,4056,251
Ta00448,20170703,Ta00448_20170703,Ta00448_20170703.jpg,quadrat_corner,3778,2854,4162,3254
Ta00448,20170703,Ta00448_20170703,Ta00448_20170703.jpg,quadrat_corner,626,2848,1021,3264
Ta00881,20170703,Ta00881_20170703,Ta00881_20170703.jpg,clover,1884,902,3002,2186
Ta00881,20170703,Ta00881_20170703,Ta00881_20170703.jpg,quadrat,1070,0,4566,3384
Ta00881,20170703,Ta00881_20170703,Ta00881_20170703.jpg,quadrat_corner,1081,0,1495,309
Ta00881,20170703,Ta00881_20170703,Ta00881_20170703.jpg,quadrat_corner,4186,0,4556,294
Ta00881,20170703,Ta00881_20170703,Ta00881_20170703.jpg,quadrat_corner,4159,2969,4547,3338
Ta00881,20170703,Ta00881_20170703,Ta00881_20170703.jpg,quadrat_corner,1144,2992,1532,3359
Ta00108,20170703,Ta00108_20170703,Ta00108_20170703.jpg,clover,1765,739,2866,1855
Ta00108,20170703,Ta00108_20170703,Ta00108_20170703.jpg,quadrat,240,0,3734,3336
Ta00108,20170703,Ta00108_20170703,Ta00108_20170703.jpg,quadrat_corner,326,23,688,357
Ta00108,20170703,Ta00108_20170703,Ta00108_20170703.jpg,quadrat_corner,3216,0,3581,292
Ta00108,20170703,Ta00108_20170703,Ta00108_20170703.jpg,quadrat_corner,3353,2859,3751,3263
Ta00108,20170703,Ta00108_20170703,Ta00108_20170703.jpg,quadrat_corner,241,2943,621,3339
Ta01207,20170703,Ta01207_20170703,Ta01207_20170703.jpg,clover,1337,148,3372,2201
Ta01207,20170703,Ta01207_20170703,Ta01207_20170703.jpg,quadrat,414,46,4032,3456
Ta01207,20170703,Ta01207_20170703,Ta01207_20170703.jpg,quadrat_corner,483,78,866,420
Ta01207,20170703,Ta01207_20170703,Ta01207_20170703.jpg,quadrat_corner,3496,42,3866,411
Ta01207,20170703,Ta01207_20170703,Ta01207_20170703.jpg,quadrat_corner,3662,3055,4032,3456
Ta01207,20170703,Ta01207_20170703,Ta01207_20170703.jpg,quadrat_corner,419,3138,829,3456
Ta00085,20170703,Ta00085_20170703,Ta00085_20170703.jpg,clover,1129,5,3049,2824
Ta00085,20170703,Ta00085_20170703,Ta00085_20170703.jpg,quadrat,308,0,3866,3368
Ta00085,20170703,Ta00085_20170703,Ta00085_20170703.jpg,quadrat_corner,460,0,839,323
Ta00085,20170703,Ta00085_20170703,Ta00085_20170703.jpg,quadrat_corner,3395,28,3764,355
Ta00085,20170703,Ta00085_20170703,Ta00085_20170703.jpg,quadrat_corner,3464,2967,3879,3364
Ta00085,20170703,Ta00085_20170703,Ta00085_20170703.jpg,quadrat_corner,299,2939,700,3359
Ta02355,20170608,Ta02355_20170608,Ta02355_20170608.jpg,clover,2098,1227,3370,2945
Ta02355,20170608,Ta02355_20170608,Ta02355_20170608.jpg,quadrat,1249,376,4151,3251
Ta02355,20170608,Ta02355_20170608,Ta02355_20170608.jpg,quadrat_corner,1310,369,1628,677
Ta02355,20170608,Ta02355_20170608,Ta02355_20170608.jpg,quadrat_corner,3841,374,4157,677
Ta02355,20170608,Ta02355_20170608,Ta02355_20170608.jpg,quadrat_corner,3830,2924,4142,3250
Ta02355,20170608,Ta02355_20170608,Ta02355_20170608.jpg,quadrat_corner,1260,2903,1579,3217
Ta02143,20170608,Ta02143_20170608,Ta02143_20170608.jpg,clover,2319,908,3579,2338
Ta02143,20170608,Ta02143_20170608,Ta02143_20170608.jpg,quadrat,1658,0,4607,2896
Ta02143,20170608,Ta02143_20170608,Ta02143_20170608.jpg,quadrat_corner,1653,21,1973,336
Ta02143,20170608,Ta02143_20170608,Ta02143_20170608.jpg,quadrat_corner,4218,0,4538,283
Ta02143,20170608,Ta02143_20170608,Ta02143_20170608.jpg,quadrat_corner,4282,2512,4597,2853
Ta02143,20170608,Ta02143_20170608,Ta02143_20170608.jpg,quadrat_corner,1711,2576,2047,2891
Ta00236,20170703,Ta00236_20170703,Ta00236_20170703.jpg,clover,1674,373,3084,1890
Ta00236,20170703,Ta00236_20170703,Ta00236_20170703.jpg,quadrat,798,0,4404,3390
Ta00236,20170703,Ta00236_20170703,Ta00236_20170703.jpg,quadrat_corner,857,0,1235,281
Ta00236,20170703,Ta00236_20170703,Ta00236_20170703.jpg,quadrat_corner,3865,0,4249,243
Ta00236,20170703,Ta00236_20170703,Ta00236_20170703.jpg,quadrat_corner,4009,2931,4393,3331
Ta00236,20170703,Ta00236_20170703,Ta00236_20170703.jpg,quadrat_corner,820,2985,1220,3379
Ta00107,20170703,Ta00107_20170703,Ta00107_20170703.jpg,clover,1825,808,3567,2396
Ta00107,20170703,Ta00107_20170703,Ta00107_20170703.jpg,quadrat,887,55,4391,3415
Ta00107,20170703,Ta00107_20170703,Ta00107_20170703.jpg,quadrat_corner,1031,98,1405,439
Ta00107,20170703,Ta00107_20170703,Ta00107_20170703.jpg,quadrat_corner,3911,71,4306,418
Ta00107,20170703,Ta00107_20170703,Ta00107_20170703.jpg,quadrat_corner,4007,3010,4413,3426
Ta00107,20170703,Ta00107_20170703,Ta00107_20170703.jpg,quadrat_corner,877,2983,1266,3388
Ta02217,20170703,Ta02217_20170703,Ta02217_20170703.jpg,clover,3202,887,4264,2394
Ta02217,20170703,Ta02217_20170703,Ta02217_20170703.jpg,quadrat,871,0,4716,3456
Ta02217,20170703,Ta02217_20170703,Ta02217_20170703.jpg,quadrat_corner,1042,28,1431,380
Ta02217,20170703,Ta02217_20170703,Ta02217_20170703.jpg,quadrat_corner,4151,0,4540,316
Ta02217,20170703,Ta02217_20170703,Ta02217_20170703.jpg,quadrat_corner,4295,3111,4716,3456
Ta02217,20170703,Ta02217_20170703,Ta02217_20170703.jpg,quadrat_corner,866,3127,1287,3456
Ta00434,20170703,Ta00434_20170703,Ta00434_20170703.jpg,clover,894,157,3570,2584
Ta00434,20170703,Ta00434_20170703,Ta00434_20170703.jpg,quadrat,746,23,4438,3456
Ta00434,20170703,Ta00434_20170703,Ta00434_20170703.jpg,quadrat_corner,829,74,1212,434
Ta00434,20170703,Ta00434_20170703,Ta00434_20170703.jpg,quadrat_corner,3889,46,4308,401
Ta00434,20170703,Ta00434_20170703,Ta00434_20170703.jpg,quadrat_corner,4027,3151,4452,3456
Ta00434,20170703,Ta00434_20170703,Ta00434_20170703.jpg,quadrat_corner,751,3184,1157,3456
