img_id,split
Ta01977_20170608,train
Ta00077_20170703,train
Ta01583_20170703,train
Ta00428_20170703,train
Ta02181_20170608,train
Ta01164_20170703,train
Ta00208_20170703,train
Ta00819_20170703,train
Ta01375_20170703,train
Ta02006_20170703,train
Ta01599_20170703,train
Ta01827_20170703,train
Ta01324_20170703,train
Ta02291_20170703,train
Ta01724_20170703,train
Ta01871_20170703,train
Ta00138_20170703,train
Ta02042_20170608,train
Ta00487_20170703,train
Ta01939_20170608,train
Ta02174_20170703,train
Ta00947_20170703,train
Ta02314_20170608,train
Ta01638_20170703,train
Ta01859_20170703,train
Ta01312_20170703,train
Ta01427_20170703,train
Ta01403_20170703,train
Ta00533_20170703,train
Ta02186_20170703,train
Ta01896_20170703,train
Ta01390_20170703,train
Ta02007_20170608,train
Ta01965_20170608,train
Ta01970_20170703,train
Ta02295_20170703,train
Ta01498_20170703,train
Ta00494_20170703,train
Ta01326_20170703,train
Ta00667_20170703,train
Ta02060_20170703,train
Ta02288_20170703,train
Ta02309_20170703,train
Ta02210_20170608,train
Ta00405_20170703,train
Ta02200_20170608,train
Ta01738_20170703,train
Ta00146_20170703,train
Ta00510_20170703,train
Ta01432_20170703,train
Ta00177_20170703,train
Ta00070_20170703,train
Ta00473_20170703,train
Ta01549_20170703,train
Ta00058_20170703,train
Ta02339_20170608,train
Ta01571_20170703,train
Ta01436_20170703,train
Ta01948_20170608,train
Ta02250_20170608,train
Ta02318_20170608,train
Ta01012_20170703,train
Ta02015_20170608,train
Ta01073_20170703,train
Ta01995_20170608,train
Ta01008_20170703,train
Ta02268_20170703,train
Ta02284_20170608,train
Ta01342_20170703,train
Ta02323_20170703,train
Ta00919_20170703,train
Ta01341_20170703,train
Ta01665_20170703,train
Ta02050_20170703,train
Ta01989_20170703,train
Ta02282_20170608,train
Ta02010_20170703,train
Ta02170_20170703,train
Ta01596_20170703,train
Ta01749_20170703,train
Ta01195_20170703,train
Ta01187_20170703,train
Ta01559_20170703,train
Ta01468_20170703,train
Ta01449_20170703,train
Ta01639_20170703,train
Ta02050_20170608,train
Ta02072_20170608,train
Ta02145_20170703,train
Ta01949_20170703,train
Ta01900_20170703,train
Ta01361_20170703,train
Ta01109_20170703,train
Ta01837_20170703,train
Ta00379_20170703,train
Ta01451_20170703,train
Ta01927_20170703,train
Ta01812_20170703,train
Ta01241_20170703,train
Ta02304_20170703,train
Ta01629_20170703,train
Ta00928_20170703,train
Ta01039_20170703,train
Ta02132_20170703,train
Ta01592_20170703,train
Ta02252_20170608,train
Ta00995_20170703,train
Ta01698_20170703,train
Ta01877_20170703,train
Ta02314_20170703,train
Ta00699_20170703,train
Ta01869_20170703,train
Ta01630_20170703,train
Ta02014_20170703,train
Ta00030_20170703,train
Ta02285_20170703,train
Ta00711_20170703,train
Ta00372_20170703,train
Ta02081_20170608,train
Ta00966_20170703,train
Ta02209_20170703,train
Ta01024_20170703,train
Ta00628_20170703,train
Ta00924_20170703,train
Ta02144_20170608,train
Ta00422_20170703,train
Ta00064_20170703,train
Ta01733_20170703,train
Ta01035_20170703,train
Ta01316_20170703,train
Ta01927_20170608,train
Ta00777_20170703,train
Ta01847_20170703,train
Ta01657_20170703,train
Ta01964_20170608,train
Ta01460_20170703,train
Ta02279_20170703,train
Ta01706_20170703,train
Ta00883_20170703,train
Ta01369_20170703,train
Ta01858_20170703,train
Ta02337_20170608,train
Ta02021_20170703,train
Ta02232_20170608,train
Ta00198_20170703,train
Ta00926_20170703,train
Ta01839_20170703,train
Ta01712_20170703,train
Ta02274_20170703,train
Ta00913_20170703,train
Ta00147_20170703,train
Ta00420_20170703,train
Ta00060_20170703,train
Ta01487_20170703,train
Ta02006_20170608,train
Ta01588_20170703,train
Ta02282_20170703,train
Ta01173_20170703,train
Ta02010_20170608,train
Ta00927_20170703,train
Ta00471_20170703,train
Ta01301_20170703,train
Ta02014_20170608,train
Ta02271_20170608,train
Ta01659_20170703,train
Ta01980_20170608,train
Ta00504_20170703,train
Ta02021_20170608,train
Ta00843_20170703,train
Ta00292_20170703,train
Ta01815_20170703,train
Ta01282_20170703,train
Ta00371_20170703,train
Ta02240_20170703,train
Ta01928_20170608,train
Ta02309_20170608,train
Ta01106_20170703,train
Ta00242_20170703,train
Ta01491_20170703,train
Ta01609_20170703,train
Ta01567_20170703,train
Ta02275_20170703,train
Ta02217_20170608,train
Ta02307_20170703,train
Ta00112_20170703,train
Ta01508_20170703,train
Ta01209_20170703,train
Ta01200_20170703,train
Ta02184_20170703,train
Ta00230_20170703,train
Ta01949_20170608,train
Ta01328_20170703,train
Ta01457_20170703,train
Ta01762_20170703,train
Ta01964_20170703,train
Ta00370_20170703,train
Ta01453_20170703,train
Ta01277_20170703,train
Ta01971_20170703,train
Ta00786_20170703,train
Ta02283_20170703,train
Ta02336_20170608,train
Ta00251_20170703,train
Ta00537_20170703,train
Ta01644_20170703,train
Ta01118_20170703,train
Ta00534_20170703,train
Ta02005_20170608,train
Ta00524_20170703,train
Ta00105_20170703,train
Ta01958_20170608,train
Ta01947_20170608,train
Ta00401_20170703,train
Ta00124_20170703,train
Ta00141_20170703,train
Ta00469_20170703,train
Ta02238_20170703,train
Ta01497_20170703,train
Ta01524_20170703,train
Ta01721_20170703,train
Ta00325_20170703,train
Ta01791_20170703,train
Ta02170_20170608,train
Ta02249_20170703,train
Ta02261_20170703,train
Ta01523_20170703,train
Ta00368_20170703,train
Ta00309_20170703,train
Ta02318_20170703,train
Ta02153_20170703,train
Ta01760_20170703,train
Ta02048_20170608,train
Ta02252_20170703,train
Ta00243_20170703,train
Ta00201_20170703,train
Ta01097_20170703,train
Ta01125_20170703,train
Ta00267_20170703,train
Ta02285_20170608,train
Ta01214_20170703,train
Ta01819_20170703,train
Ta02178_20170703,train
Ta01196_20170703,train
Ta00621_20170703,train
Ta02316_20170703,train
Ta01979_20170608,train
Ta01909_20170703,train
Ta01999_20170703,train
Ta01893_20170703,train
Ta01203_20170703,train
Ta00109_20170703,train
Ta01945_20170608,train
Ta01094_20170703,train
Ta02090_20170608,train
Ta02270_20170608,train
Ta02217_20170703,train
Ta01617_20170703,train
Ta02126_20170608,train
Ta02205_20170608,train
Ta00294_20170703,train
Ta01763_20170703,train
Ta02269_20170703,train
Ta01574_20170703,train
Ta00846_20170703,train
Ta00400_20170703,train
Ta01391_20170703,train
Ta01417_20170703,train
Ta02248_20170703,train
Ta00951_20170703,train
Ta00767_20170703,train
Ta00041_20170703,train
Ta02291_20170608,train
Ta02366_20170608,train
Ta02165_20170703,train
Ta01973_20170703,train
Ta00078_20170703,train
Ta01255_20170703,train
Ta02352_20170703,train
Ta00584_20170703,train
Ta01884_20170703,train
Ta00911_20170703,train
Ta00747_20170703,train
Ta02138_20170608,train
Ta01904_20170703,train
Ta02082_20170703,train
Ta02154_20170608,train
Ta02019_20170703,train
Ta01917_20170608,train
Ta02249_20170608,train
Ta01463_20170703,train
Ta02338_20170608,train
Ta02141_20170608,train
Ta02234_20170608,train
Ta00134_20170703,train
Ta01355_20170703,train
Ta01553_20170703,train
Ta01989_20170608,train
Ta00748_20170703,train
Ta01414_20170703,train
Ta01435_20170703,train
Ta02223_20170703,train
Ta02323_20170608,train
Ta00249_20170703,train
Ta02074_20170703,train
Ta01017_20170703,train
Ta01805_20170703,train
Ta01286_20170703,train
Ta02327_20170703,train
Ta01965_20170703,train
Ta01959_20170703,train
Ta01777_20170703,train
Ta02368_20170608,train
Ta00688_20170703,train
Ta00850_20170703,train
Ta00055_20170703,train
Ta01469_20170703,train
Ta02075_20170703,train
Ta01371_20170703,train
Ta01958_20170703,train
Ta01458_20170703,train
Ta00062_20170703,train
Ta00328_20170703,train
Ta01191_20170703,train
Ta02201_20170703,train
Ta00623_20170703,train
Ta02268_20170608,train
Ta02153_20170608,train
Ta01212_20170703,train
Ta01402_20170703,train
Ta01287_20170703,train
Ta01127_20170703,train
Ta02173_20170608,train
Ta01716_20170703,train
Ta01099_20170703,train
Ta00762_20170703,train
Ta02009_20170703,train
Ta02098_20170703,train
Ta01850_20170703,train
Ta01188_20170703,train
Ta00113_20170703,train
Ta02031_20170703,train
