img_id,status
Ta00018_20170703,alive
Ta00026_20170703,alive
Ta00029_20170703,alive
Ta00030_20170703,alive
Ta00033_20170703,alive
Ta00034_20170703,alive
Ta00041_20170703,alive
Ta00042_20170703,alive
Ta00047_20170703,alive
Ta00048_20170703,alive
Ta00049_20170703,alive
Ta00051_20170703,alive
Ta00052_20170703,alive
Ta00055_20170703,alive
Ta00058_20170703,alive
Ta00060_20170703,alive
Ta00062_20170703,alive
Ta00063_20170703,alive
Ta00064_20170703,alive
Ta00065_20170703,dead
Ta00067_20170703,alive
Ta00070_20170703,alive
Ta00072_20170703,alive
Ta00074_20170703,alive
Ta00077_20170703,alive
Ta00078_20170703,alive
Ta00079_20170703,alive
Ta00080_20170703,alive
Ta00082_20170703,alive
Ta00083_20170703,alive
Ta00085_20170703,alive
Ta00093_20170703,alive
Ta00094_20170703,alive
Ta00097_20170703,alive
Ta00099_20170703,alive
Ta00100_20170703,alive
Ta00101_20170703,alive
Ta00102_20170703,alive
Ta00105_20170703,alive
Ta00107_20170703,alive
Ta00108_20170703,alive
Ta00109_20170703,alive
Ta00111_20170703,alive
Ta00112_20170703,alive
Ta00113_20170703,alive
Ta00115_20170703,alive
Ta00117_20170703,alive
Ta00123_20170703,alive
Ta00124_20170703,alive
Ta00125_20170703,alive
Ta00132_20170703,alive
Ta00133_20170703,alive
Ta00134_20170703,alive
Ta00135_20170703,alive
Ta00138_20170703,alive
Ta00139_20170703,alive
Ta00141_20170703,alive
Ta00146_20170703,alive
Ta00147_20170703,alive
Ta00148_20170703,alive
Ta00149_20170703,alive
Ta00150_20170703,alive
Ta00152_20170703,alive
Ta00156_20170703,alive
Ta00159_20170703,alive
Ta00162_20170703,alive
Ta00164_20170703,alive
Ta00165_20170703,alive
Ta00168_20170703,alive
Ta00170_20170703,alive
Ta00172_20170703,alive
Ta00173_20170703,alive
Ta00174_20170703,alive
Ta00177_20170703,alive
Ta00188_20170703,dead
Ta00191_20170703,alive
Ta00193_20170703,alive
Ta00197_20170703,alive
Ta00198_20170703,alive
Ta00200_20170703,alive
Ta00201_20170703,alive
Ta00203_20170703,alive
Ta00208_20170703,alive
Ta00209_20170703,dead
Ta00218_20170703,alive
Ta00221_20170703,alive
Ta00230_20170703,alive
Ta00232_20170703,alive
Ta00235_20170703,alive
Ta00236_20170703,alive
Ta00239_20170703,alive
Ta00242_20170703,alive
Ta00243_20170703,alive
Ta00247_20170703,alive
Ta00249_20170703,alive
Ta00251_20170703,alive
Ta00252_20170703,alive
Ta00255_20170703,alive
Ta00258_20170703,alive
Ta00259_20170703,alive
Ta00262_20170703,alive
Ta00263_20170703,alive
Ta00264_20170703,alive
Ta00265_20170703,alive
Ta00267_20170703,alive
Ta00292_20170703,alive
Ta00294_20170703,alive
Ta00299_20170703,alive
Ta00309_20170703,alive
Ta00310_20170703,alive
Ta00312_20170703,alive
Ta00313_20170703,dead
Ta00320_20170703,alive
Ta00321_20170703,alive
Ta00325_20170703,alive
Ta00326_20170703,alive
Ta00328_20170703,alive
Ta00340_20170703,alive
Ta00367_20170703,alive
Ta00368_20170703,alive
Ta00370_20170703,alive
Ta00371_20170703,alive
Ta00372_20170703,alive
Ta00373_20170703,alive
Ta00374_20170703,alive
Ta00375_20170703,alive
Ta00378_20170703,alive
Ta00379_20170703,alive
Ta00380_20170703,alive
Ta00381_20170703,alive
Ta00382_20170703,alive
Ta00388_20170703,alive
Ta00389_20170703,alive
Ta00392_20170703,alive
Ta00398_20170703,alive
Ta00399_20170703,alive
Ta00400_20170703,alive
Ta00401_20170703,alive
Ta00402_20170703,alive
Ta00403_20170703,alive
Ta00405_20170703,alive
Ta00407_20170703,alive
Ta00420_20170703,alive
Ta00422_20170703,alive
Ta00428_20170703,alive
Ta00430_20170703,alive
Ta00431_20170703,alive
Ta00432_20170703,alive
Ta00433_20170703,alive
Ta00434_20170703,alive
Ta00435_20170703,alive
Ta00441_20170703,alive
Ta00443_20170703,alive
Ta00445_20170703,alive
Ta00447_20170703,alive
Ta00448_20170703,dead
Ta00449_20170703,alive
Ta00450_20170703,alive
Ta00468_20170703,alive
Ta00469_20170703,alive
Ta00471_20170703,alive
Ta00473_20170703,alive
Ta00474_20170703,alive
Ta00475_20170703,alive
Ta00476_20170703,dead
Ta00478_20170703,alive
Ta00486_20170703,alive
Ta00487_20170703,alive
Ta00489_20170703,alive
Ta00490_20170703,alive
Ta00491_20170703,alive
Ta00492_20170703,alive
Ta00494_20170703,alive
Ta00495_20170703,alive
Ta00500_20170703,alive
Ta00501_20170703,alive
Ta00502_20170703,alive
Ta00504_20170703,alive
Ta00507_20170703,alive
Ta00508_20170703,alive
Ta00509_20170703,alive
Ta00510_20170703,alive
Ta00524_20170703,alive
Ta00529_20170703,alive
Ta00532_20170703,alive
Ta00533_20170703,alive
Ta00534_20170703,alive
Ta00536_20170703,alive
Ta00537_20170703,alive
Ta00538_20170703,alive
Ta00540_20170703,alive
Ta00542_20170703,alive
Ta00543_20170703,alive
Ta00545_20170703,alive
Ta00548_20170703,alive
Ta00550_20170703,alive
Ta00555_20170703,alive
Ta00560_20170703,alive
Ta00584_20170703,alive
Ta00589_20170703,alive
Ta00592_20170703,alive
Ta00593_20170703,alive
Ta00599_20170703,alive
Ta00607_20170703,alive
Ta00609_20170703,alive
Ta00614_20170703,alive
Ta00620_20170703,alive
Ta00621_20170703,alive
Ta00623_20170703,alive
Ta00624_20170703,alive
Ta00625_20170703,alive
Ta00627_20170703,alive
Ta00628_20170703,alive
Ta00630_20170703,alive
Ta00632_20170703,alive
Ta00635_20170703,alive
